customer_id,signup_date,first_paid_date,country,acquisition_channel,company_size_bucket
82,2024-03-29,2024-03-31,FR,Paid Social,11-50
83,2024-03-30,,FR,Paid Social,11-50
84,2024-03-31,2024-04-16,NL,Content,1-10
85,2024-04-01,2024-04-04,NL,Paid Social,1-10
86,2024-04-03,2024-04-20,ES,Paid Social,11-50
87,2024-04-04,2024-04-11,ES,Referral,11-50
88,2024-04-05,2024-04-08,UK,Paid Social,11-50
89,2024-04-06,2024-04-07,NL,Content,11-50
90,2024-04-07,2024-05-06,UK,Referral,201+
91,2024-04-08,,NL,Organic,1-10
92,2024-04-09,,FR,Referral,1-10
93,2024-04-10,2024-04-19,DE,Paid Social,1-10
94,2024-04-11,2024-04-14,UK,Paid Social,1-10
95,2024-04-12,2024-05-03,UK,Paid Social,51-200
96,2024-04-13,,NL,Paid Social,1-10
97,2024-04-15,2024-05-02,UK,Content,11-50
98,2024-04-16,2024-05-11,NL,Organic,1-10
99,2024-04-17,,DE,Paid Social,11-50
100,2024-04-18,2024-04-19,DE,Organic,11-50
101,2024-04-19,2024-04-28,DE,Content,1-10
102,2024-04-20,,DE,Organic,11-50
103,2024-04-21,2024-04-24,DE,Content,1-10
104,2024-04-22,2024-05-05,NL,Paid Social,1-10
105,2024-04-23,2024-05-08,DE,Content,1-10
106,2024-04-24,2024-05-08,NL,Outbound,1-10
107,2024-04-25,2024-05-02,DE,Content,1-10
108,2024-04-27,2024-05-10,NL,Content,11-50
109,2024-04-28,2024-05-20,DE,Paid Social,11-50
110,2024-04-29,2024-05-26,DE,Referral,11-50
111,2024-04-30,2024-05-24,FR,Organic,1-10
112,2024-05-01,2024-05-30,NL,Organic,11-50
113,2024-05-02,2024-05-09,DE,Paid Social,1-10
114,2024-05-03,2024-05-23,ES,Referral,1-10
115,2024-05-04,2024-05-19,DE,Paid Social,51-200
116,2024-05-05,2024-05-17,FR,Referral,1-10
117,2024-05-06,2024-05-23,ES,Content,11-50
118,2024-05-08,2024-05-22,FR,Referral,11-50
119,2024-05-09,2024-05-29,FR,Referral,1-10
120,2024-05-10,2024-06-02,FR,Content,1-10
121,2024-05-11,2024-06-05,FR,Outbound,1-10
122,2024-05-12,2024-06-05,NL,Referral,51-200
123,2024-05-13,,DE,Content,1-10
124,2024-05-14,2024-06-10,DE,Outbound,1-10
125,2024-05-15,,FR,Outbound,1-10
126,2024-05-16,2024-05-28,UK,Organic,11-50
127,2024-05-17,2024-05-25,FR,Paid Social,1-10
128,2024-05-18,2024-06-15,DE,Paid Social,1-10
129,2024-05-20,2024-06-03,NL,Organic,11-50
130,2024-05-21,2024-06-02,NL,Referral,51-200
131,2024-05-22,2024-05-22,DE,Referral,1-10
132,2024-05-23,2024-06-16,DE,Content,1-10
133,2024-05-24,2024-05-30,FR,Organic,1-10
134,2024-05-25,,FR,Content,11-50
135,2024-05-26,2024-06-18,DE,Referral,1-10
136,2024-05-27,2024-05-27,DE,Referral,11-50
137,2024-05-28,2024-06-08,DE,Outbound,11-50
138,2024-05-29,2024-06-05,DE,Referral,11-50
139,2024-05-30,2024-06-22,ES,Paid Social,1-10
140,2024-06-01,2024-06-11,UK,Content,51-200
141,2024-06-02,2024-06-20,DE,Paid Social,11-50
142,2024-06-03,,ES,Organic,11-50
143,2024-06-04,2024-06-11,NL,Content,1-10
144,2024-06-05,2024-06-07,FR,Paid Social,201+
145,2024-06-06,2024-06-08,FR,Content,1-10
146,2024-06-07,2024-06-07,DE,Paid Social,1-10
147,2024-06-08,2024-07-04,DE,Content,1-10
148,2024-06-09,2024-06-13,NL,Organic,11-50
149,2024-06-10,2024-06-19,FR,Outbound,1-10
150,2024-06-12,2024-06-18,DE,Content,1-10
151,2024-06-13,2024-07-08,ES,Organic,1-10
152,2024-06-14,2024-06-22,UK,Referral,1-10
153,2024-06-15,2024-07-12,DE,Outbound,11-50
154,2024-06-16,2024-06-22,ES,Paid Social,11-50
155,2024-06-17,2024-06-25,ES,Organic,1-10
156,2024-06-18,2024-06-25,ES,Paid Social,1-10
157,2024-06-19,,DE,Paid Social,11-50
158,2024-06-20,2024-06-21,NL,Referral,1-10
159,2024-06-21,2024-06-21,FR,Referral,1-10
160,2024-06-22,2024-07-07,NL,Paid Social,201+
161,2024-06-24,2024-07-16,ES,Organic,11-50
162,2024-06-25,2024-07-17,NL,Referral,1-10
163,2024-06-26,2024-07-25,UK,Paid Social,11-50
164,2024-06-27,2024-07-20,UK,Organic,1-10
165,2024-06-28,2024-07-02,UK,Outbound,11-50
166,2024-06-29,,FR,Referral,1-10
167,2024-06-30,2024-07-11,DE,Referral,1-10
168,2024-07-01,2024-07-08,DE,Content,1-10
169,2024-07-02,2024-07-23,UK,Paid Social,51-200
170,2024-07-03,2024-07-29,DE,Content,11-50
171,2024-07-05,2024-07-07,FR,Paid Social,1-10
172,2024-07-06,2024-07-06,DE,Organic,1-10
173,2024-07-07,2024-07-09,FR,Paid Social,11-50
174,2024-07-08,2024-07-12,UK,Paid Social,1-10
175,2024-07-09,2024-07-23,UK,Referral,1-10
176,2024-07-10,2024-07-23,DE,Organic,201+
177,2024-07-11,2024-07-13,ES,Organic,1-10
178,2024-07-12,2024-07-12,FR,Organic,11-50
179,2024-07-13,,DE,Organic,201+
180,2024-07-14,2024-08-08,NL,Referral,1-10
181,2024-07-15,2024-08-06,FR,Organic,1-10
182,2024-07-17,,DE,Referral,1-10
183,2024-07-18,2024-07-24,NL,Paid Social,51-200
184,2024-07-19,2024-08-14,DE,Referral,51-200
185,2024-07-20,2024-07-28,DE,Content,11-50
186,2024-07-21,2024-08-04,FR,Paid Social,1-10
187,2024-07-22,,DE,Content,11-50
188,2024-07-23,2024-08-17,FR,Paid Social,51-200
189,2024-07-24,2024-08-02,FR,Paid Social,11-50
190,2024-07-25,2024-08-21,NL,Outbound,51-200
191,2024-07-26,2024-08-07,UK,Organic,51-200
192,2024-07-27,2024-08-14,UK,Organic,11-50
193,2024-07-29,,NL,Content,11-50
194,2024-07-30,,NL,Organic,1-10
195,2024-07-31,2024-08-19,DE,Content,1-10
196,2024-08-01,2024-08-29,FR,Paid Social,11-50
197,2024-08-02,2024-08-05,FR,Outbound,1-10
198,2024-08-03,2024-09-01,DE,Referral,51-200
199,2024-08-04,2024-08-08,FR,Referral,201+
200,2024-08-05,2024-08-27,FR,Outbound,11-50
201,2024-08-06,2024-08-12,UK,Paid Social,1-10
202,2024-08-07,2024-08-19,ES,Outbound,1-10
203,2024-08-09,2024-08-23,FR,Organic,1-10
204,2024-08-10,2024-08-20,DE,Paid Social,11-50
205,2024-08-11,,DE,Organic,11-50
206,2024-08-12,,ES,Paid Social,51-200
207,2024-08-13,2024-08-25,ES,Organic,1-10
208,2024-08-14,,DE,Content,51-200
209,2024-08-15,2024-09-10,NL,Content,51-200
210,2024-08-16,2024-09-03,DE,Outbound,1-10
211,2024-08-17,2024-09-07,DE,Organic,51-200
212,2024-08-18,2024-09-14,DE,Referral,1-10
213,2024-08-19,2024-08-20,DE,Paid Social,1-10
214,2024-08-21,2024-08-30,ES,Paid Social,11-50
215,2024-08-22,2024-09-03,NL,Paid Social,1-10
216,2024-08-23,2024-09-21,DE,Paid Social,11-50
217,2024-08-24,2024-09-17,NL,Referral,11-50
218,2024-08-25,2024-09-14,ES,Referral,11-50
219,2024-08-26,2024-08-31,ES,Paid Social,1-10
220,2024-08-27,2024-09-23,DE,Organic,11-50
221,2024-08-28,2024-09-24,DE,Organic,11-50
222,2024-08-29,2024-09-09,DE,Organic,11-50
223,2024-08-30,2024-09-10,DE,Outbound,1-10
224,2024-09-01,2024-09-20,DE,Organic,1-10
225,2024-09-02,2024-10-01,NL,Organic,11-50
226,2024-09-03,2024-10-02,DE,Paid Social,1-10
227,2024-09-04,2024-09-14,DE,Content,11-50
228,2024-09-05,2024-09-30,DE,Outbound,11-50
229,2024-09-06,2024-09-28,DE,Content,11-50
230,2024-09-07,2024-10-04,DE,Referral,11-50
231,2024-09-08,2024-10-02,FR,Paid Social,201+
232,2024-09-09,2024-09-15,DE,Organic,51-200
233,2024-09-10,2024-10-09,DE,Outbound,51-200
234,2024-09-11,2024-09-11,FR,Content,51-200
235,2024-09-13,2024-09-13,NL,Referral,1-10
236,2024-09-14,2024-10-08,DE,Content,1-10
237,2024-09-15,2024-10-11,DE,Referral,11-50
238,2024-09-16,2024-10-15,DE,Referral,1-10
239,2024-09-17,2024-10-11,ES,Outbound,1-10
240,2024-09-18,2024-10-07,FR,Outbound,1-10
241,2024-09-19,2024-10-01,FR,Referral,11-50
242,2024-09-20,2024-09-28,ES,Referral,11-50
243,2024-09-21,2024-09-23,DE,Organic,11-50
244,2024-09-22,2024-09-28,UK,Referral,11-50
245,2024-09-23,2024-09-28,FR,Organic,51-200
246,2024-09-25,2024-10-02,DE,Referral,1-10
247,2024-09-26,2024-10-22,FR,Outbound,51-200
248,2024-09-27,,UK,Referral,1-10
249,2024-09-28,,FR,Paid Social,201+
250,2024-09-29,2024-10-03,ES,Paid Social,11-50
251,2024-09-30,2024-09-30,DE,Organic,1-10
252,2024-10-01,2024-10-19,NL,Referral,1-10
253,2024-10-02,2024-10-11,DE,Organic,1-10
254,2024-10-03,2024-10-14,UK,Organic,1-10
255,2024-10-04,2024-10-27,FR,Paid Social,1-10
256,2024-10-06,2024-10-20,DE,Content,11-50
257,2024-10-07,2024-11-02,DE,Referral,11-50
258,2024-10-08,2024-10-29,DE,Organic,11-50
259,2024-10-09,2024-11-01,DE,Paid Social,51-200
260,2024-10-10,2024-10-18,DE,Paid Social,11-50
261,2024-10-11,2024-10-30,NL,Referral,11-50
262,2024-10-12,,FR,Referral,1-10
263,2024-10-13,,NL,Paid Social,11-50
264,2024-10-14,2024-10-30,ES,Referral,1-10
265,2024-10-15,2024-11-09,FR,Paid Social,201+
266,2024-10-16,2024-11-04,NL,Content,51-200
267,2024-10-18,2024-10-29,UK,Paid Social,11-50
268,2024-10-19,2024-11-17,DE,Paid Social,1-10
269,2024-10-20,2024-10-26,DE,Paid Social,51-200
270,2024-10-21,2024-10-22,DE,Referral,11-50
271,2024-10-22,2024-10-24,DE,Content,1-10
272,2024-10-23,,DE,Paid Social,1-10
273,2024-10-24,2024-10-28,DE,Referral,11-50
274,2024-10-25,2024-11-10,UK,Referral,1-10
275,2024-10-26,2024-11-18,UK,Paid Social,51-200
276,2024-10-27,2024-11-12,DE,Paid Social,1-10
277,2024-10-28,2024-11-23,DE,Content,1-10
278,2024-10-30,2024-11-15,DE,Paid Social,51-200
279,2024-10-31,2024-11-01,FR,Paid Social,1-10
280,2024-11-01,2024-11-02,FR,Outbound,11-50
281,2024-11-02,2024-11-29,UK,Organic,1-10
282,2024-11-03,2024-11-24,DE,Organic,1-10
283,2024-11-04,2024-11-26,UK,Paid Social,11-50
284,2024-11-05,2024-11-09,ES,Outbound,11-50
285,2024-11-06,2024-11-06,DE,Organic,11-50
286,2024-11-07,2024-11-07,UK,Organic,11-50
287,2024-11-08,,FR,Organic,11-50
288,2024-11-10,2024-12-09,FR,Organic,1-10
289,2024-11-11,2024-11-12,FR,Organic,1-10
290,2024-11-12,2024-12-02,UK,Paid Social,51-200
291,2024-11-13,,NL,Referral,11-50
292,2024-11-14,2024-12-09,UK,Organic,11-50
293,2024-11-15,2024-11-20,ES,Paid Social,1-10
294,2024-11-16,2024-12-08,NL,Organic,1-10
295,2024-11-17,2024-11-20,ES,Paid Social,11-50
296,2024-11-18,,NL,Paid Social,51-200
297,2024-11-19,2024-11-29,NL,Referral,11-50
298,2024-11-20,,FR,Organic,51-200
299,2024-11-22,2024-12-18,DE,Paid Social,11-50
300,2024-11-23,,NL,Organic,1-10
301,2024-11-24,2024-11-29,FR,Content,1-10
302,2024-11-25,2024-12-18,FR,Referral,1-10
303,2024-11-26,,ES,Referral,1-10
304,2024-11-27,2024-12-16,DE,Organic,51-200
305,2024-11-28,2024-11-29,FR,Outbound,1-10
306,2024-11-29,2024-12-04,NL,Organic,11-50
307,2024-11-30,,UK,Organic,1-10
308,2024-12-01,,FR,Paid Social,1-10
309,2024-12-03,2024-12-18,UK,Organic,1-10
310,2024-12-04,2024-12-19,UK,Outbound,1-10
311,2024-12-05,2024-12-05,DE,Content,11-50
312,2024-12-06,2024-12-14,DE,Organic,1-10
313,2024-12-07,2025-01-03,NL,Referral,11-50
314,2024-12-08,2025-01-03,DE,Outbound,1-10
315,2024-12-09,2024-12-14,DE,Content,1-10
316,2024-12-10,2024-12-25,FR,Referral,1-10
317,2024-12-11,,DE,Outbound,11-50
318,2024-12-12,2024-12-14,FR,Outbound,11-50
319,2024-12-13,2025-01-01,FR,Referral,1-10
320,2024-12-15,2025-01-11,FR,Organic,1-10
321,2024-12-16,2025-01-11,FR,Paid Social,11-50
322,2024-12-17,2024-12-20,NL,Content,1-10
323,2024-12-18,2025-01-05,DE,Organic,1-10
324,2024-12-19,2025-01-13,NL,Content,51-200
325,2024-12-20,,FR,Organic,11-50
326,2024-12-21,2025-01-08,UK,Organic,1-10
327,2024-12-22,2025-01-10,FR,Paid Social,51-200
328,2024-12-23,,ES,Organic,11-50
329,2024-12-24,2025-01-12,NL,Outbound,1-10
330,2024-12-25,2025-01-02,DE,Content,11-50
331,2024-12-27,,UK,Content,11-50
332,2024-12-28,2025-01-04,DE,Referral,1-10
333,2024-12-29,2025-01-04,DE,Organic,1-10
334,2024-12-30,2025-01-16,DE,Paid Social,1-10
335,2024-12-31,2025-01-07,FR,Referral,11-50
336,2025-01-01,,FR,Paid Social,1-10
337,2025-01-02,2025-01-12,DE,Organic,51-200
338,2025-01-03,,UK,Paid Social,11-50
339,2025-01-04,,DE,Paid Social,1-10
340,2025-01-05,,DE,Outbound,11-50
341,2025-01-07,2025-01-24,DE,Content,1-10
342,2025-01-08,2025-01-30,DE,Paid Social,11-50
343,2025-01-09,2025-02-07,FR,Referral,11-50
344,2025-01-10,2025-01-19,NL,Referral,1-10
345,2025-01-11,2025-01-13,FR,Organic,1-10
346,2025-01-12,2025-01-18,DE,Content,1-10
347,2025-01-13,2025-02-09,DE,Content,1-10
348,2025-01-14,2025-01-29,DE,Paid Social,1-10
349,2025-01-15,2025-02-09,UK,Paid Social,1-10
350,2025-01-16,2025-01-31,DE,Organic,201+
351,2025-01-17,2025-02-10,FR,Paid Social,1-10
352,2025-01-19,2025-02-07,ES,Organic,1-10
353,2025-01-20,,FR,Content,11-50
354,2025-01-21,2025-02-06,ES,Organic,1-10
355,2025-01-22,2025-01-23,DE,Paid Social,201+
356,2025-01-23,2025-01-23,UK,Outbound,11-50
357,2025-01-24,2025-02-08,FR,Referral,11-50
358,2025-01-25,2025-02-23,NL,Organic,1-10
359,2025-01-26,2025-02-06,DE,Organic,1-10
360,2025-01-27,2025-01-31,DE,Organic,1-10
361,2025-01-28,,DE,Referral,51-200
362,2025-01-30,2025-02-25,NL,Organic,1-10
363,2025-01-31,2025-02-22,UK,Paid Social,1-10
364,2025-02-01,2025-02-09,NL,Outbound,201+
365,2025-02-02,2025-02-10,DE,Organic,1-10
366,2025-02-03,2025-02-05,UK,Content,1-10
367,2025-02-04,,DE,Outbound,1-10
368,2025-02-05,2025-02-20,DE,Organic,201+
369,2025-02-06,2025-02-21,DE,Content,1-10
370,2025-02-07,2025-02-09,NL,Paid Social,11-50
371,2025-02-08,,DE,Outbound,11-50
372,2025-02-09,2025-03-04,FR,Referral,1-10
373,2025-02-11,2025-03-04,UK,Referral,11-50
374,2025-02-12,2025-03-07,DE,Paid Social,1-10
375,2025-02-13,2025-02-13,FR,Content,1-10
376,2025-02-14,2025-03-09,DE,Referral,11-50
377,2025-02-15,2025-03-06,DE,Paid Social,51-200
378,2025-02-16,2025-02-26,FR,Content,11-50
379,2025-02-17,2025-03-05,DE,Organic,11-50
380,2025-02-18,2025-02-25,NL,Organic,1-10
381,2025-02-19,2025-02-22,FR,Organic,1-10
382,2025-02-20,2025-02-25,FR,Paid Social,1-10
383,2025-02-21,,NL,Organic,1-10
384,2025-02-23,,FR,Outbound,1-10
385,2025-02-24,2025-03-25,FR,Organic,1-10
386,2025-02-25,2025-02-27,FR,Referral,1-10
387,2025-02-26,2025-03-13,DE,Organic,1-10
388,2025-02-27,2025-03-28,DE,Content,11-50
389,2025-02-28,,UK,Outbound,51-200
390,2025-03-01,2025-03-03,NL,Paid Social,1-10
391,2025-03-02,2025-03-26,DE,Content,51-200
392,2025-03-03,2025-03-31,FR,Organic,51-200
393,2025-03-04,2025-03-21,DE,Content,1-10
394,2025-03-06,2025-03-19,ES,Organic,11-50
395,2025-03-07,,DE,Outbound,11-50
396,2025-03-08,2025-03-09,DE,Organic,11-50
397,2025-03-09,2025-03-30,DE,Referral,1-10
398,2025-03-10,2025-03-12,FR,Content,11-50
399,2025-03-11,2025-03-26,UK,Organic,1-10
400,2025-03-12,2025-04-09,DE,Organic,11-50
401,2025-03-13,2025-03-21,UK,Organic,11-50
402,2025-03-14,2025-03-17,DE,Paid Social,11-50
403,2025-03-15,2025-03-15,UK,Referral,11-50
404,2025-03-16,2025-03-19,DE,Organic,11-50
405,2025-03-18,,DE,Paid Social,1-10
406,2025-03-19,,NL,Organic,1-10
407,2025-03-20,2025-04-09,ES,Content,51-200
408,2025-03-21,2025-04-05,UK,Organic,1-10
409,2025-03-22,2025-04-10,FR,Organic,1-10
410,2025-03-23,2025-04-15,ES,Organic,1-10
411,2025-03-24,2025-03-31,DE,Paid Social,1-10
412,2025-03-25,2025-03-31,ES,Content,201+
413,2025-03-26,2025-03-28,FR,Paid Social,11-50
414,2025-03-27,,NL,Organic,51-200
415,2025-03-28,2025-03-28,UK,Content,11-50
416,2025-03-30,2025-04-14,NL,Content,1-10
417,2025-03-31,2025-04-11,FR,Organic,1-10
418,2025-04-01,2025-04-27,FR,Content,11-50
419,2025-04-02,2025-04-20,UK,Outbound,1-10
420,2025-04-03,2025-04-24,DE,Organic,51-200
421,2025-04-04,2025-04-26,ES,Content,51-200
422,2025-04-05,2025-04-26,NL,Referral,1-10
423,2025-04-06,2025-04-19,DE,Paid Social,201+
424,2025-04-07,2025-05-06,NL,Organic,51-200
425,2025-04-08,2025-04-13,FR,Organic,11-50
426,2025-04-10,2025-04-15,NL,Content,1-10
427,2025-04-11,2025-04-23,UK,Outbound,1-10
428,2025-04-12,2025-04-30,DE,Referral,11-50
429,2025-04-13,2025-05-04,FR,Paid Social,1-10
430,2025-04-14,2025-04-21,ES,Referral,1-10
431,2025-04-15,2025-05-11,DE,Referral,11-50
432,2025-04-16,2025-05-12,FR,Paid Social,1-10
433,2025-04-17,2025-04-18,DE,Organic,11-50
434,2025-04-18,2025-05-08,FR,Content,51-200
435,2025-04-19,2025-05-18,FR,Paid Social,51-200
436,2025-04-20,2025-04-20,FR,Content,1-10
437,2025-04-22,,DE,Organic,51-200
438,2025-04-23,2025-05-07,NL,Organic,1-10
439,2025-04-24,,DE,Organic,1-10
440,2025-04-25,2025-04-29,DE,Paid Social,11-50
441,2025-04-26,2025-05-23,DE,Outbound,1-10
442,2025-04-27,2025-05-25,DE,Organic,1-10
443,2025-04-28,2025-05-13,FR,Content,11-50
444,2025-04-29,2025-05-17,NL,Paid Social,1-10
445,2025-04-30,2025-05-03,UK,Content,1-10
446,2025-05-01,2025-05-03,DE,Organic,1-10
447,2025-05-03,2025-05-19,UK,Content,11-50
448,2025-05-04,2025-05-20,NL,Content,11-50
449,2025-05-05,2025-05-16,FR,Organic,1-10
450,2025-05-06,2025-06-02,ES,Organic,1-10
451,2025-05-07,2025-06-05,ES,Content,1-10
452,2025-05-08,2025-06-05,DE,Outbound,1-10
453,2025-05-09,2025-05-22,DE,Organic,11-50
454,2025-05-10,2025-05-30,ES,Referral,1-10
455,2025-05-11,2025-05-16,NL,Outbound,1-10
456,2025-05-12,2025-05-14,DE,Content,11-50
457,2025-05-13,2025-06-09,UK,Outbound,11-50
458,2025-05-15,2025-05-23,UK,Content,11-50
459,2025-05-16,2025-05-20,UK,Paid Social,1-10
460,2025-05-17,2025-06-09,UK,Paid Social,1-10
461,2025-05-18,2025-06-15,UK,Paid Social,1-10
462,2025-05-19,2025-06-04,DE,Referral,1-10
463,2025-05-20,2025-06-02,DE,Referral,11-50
464,2025-05-21,2025-06-10,NL,Organic,51-200
465,2025-05-22,2025-05-24,ES,Content,11-50
466,2025-05-23,,DE,Referral,11-50
467,2025-05-24,2025-05-24,FR,Referral,1-10
468,2025-05-25,2025-06-13,NL,Paid Social,11-50
469,2025-05-27,2025-06-24,FR,Paid Social,1-10
470,2025-05-28,,NL,Organic,11-50
471,2025-05-29,2025-06-20,UK,Organic,1-10
472,2025-05-30,2025-05-30,NL,Organic,1-10
473,2025-05-31,2025-06-02,FR,Organic,1-10
474,2025-06-01,2025-06-18,FR,Paid Social,201+
475,2025-06-02,,FR,Paid Social,1-10
476,2025-06-03,2025-06-12,DE,Organic,1-10
477,2025-06-04,2025-06-25,DE,Content,1-10
478,2025-06-05,2025-06-30,FR,Organic,11-50
479,2025-06-07,2025-06-09,DE,Outbound,11-50
480,2025-06-08,2025-06-15,DE,Outbound,11-50
481,2025-06-09,2025-06-22,FR,Organic,1-10
482,2025-06-10,2025-07-03,FR,Paid Social,11-50
483,2025-06-11,2025-06-28,DE,Organic,1-10
484,2025-06-12,,NL,Referral,51-200
485,2025-06-13,2025-07-04,NL,Referral,11-50
486,2025-06-14,2025-07-06,DE,Organic,1-10
487,2025-06-15,2025-06-16,UK,Referral,1-10
488,2025-06-16,,FR,Organic,1-10
489,2025-06-17,2025-06-26,NL,Organic,1-10
490,2025-06-19,2025-06-20,FR,Referral,1-10
491,2025-06-20,2025-07-15,ES,Paid Social,11-50
492,2025-06-21,2025-07-07,UK,Referral,1-10
493,2025-06-22,2025-06-29,NL,Paid Social,1-10
494,2025-06-23,2025-06-23,UK,Outbound,1-10
495,2025-06-24,2025-07-02,DE,Organic,1-10
496,2025-06-25,,DE,Paid Social,51-200
497,2025-06-26,2025-07-17,NL,Referral,1-10
498,2025-06-27,2025-07-12,FR,Paid Social,11-50
499,2025-06-28,2025-07-04,UK,Outbound,51-200
500,2025-06-30,2025-07-28,DE,Referral,11-50
