touch_id,customer_id,touch_date,touch_type,sales_rep_id,outcome
81,8,2024-11-27,Call,10,Connected
82,8,2025-01-07,Check-in,2,No Response
83,9,2024-01-09,Email,1,Meeting Scheduled
84,9,2024-01-29,Demo,10,No Response
85,9,2024-02-18,Call,6,Connected
86,9,2024-03-09,Demo,9,No Response
87,9,2024-03-30,Demo,3,Opportunity
88,9,2024-04-19,Demo,10,Connected
89,9,2024-05-09,Call,3,No Response
90,9,2024-05-29,Demo,4,No Response
91,9,2024-06-19,Call,4,No Response
92,9,2024-07-09,Check-in,6,No Response
93,9,2024-07-29,Email,8,Connected
94,9,2024-08-19,Email,1,Connected
95,9,2024-09-08,Email,4,Connected
96,9,2024-09-28,Check-in,1,Meeting Scheduled
97,9,2024-10-18,Call,5,No Response
98,9,2024-11-08,Email,10,Connected
99,9,2024-11-28,Call,2,Meeting Scheduled
100,9,2024-12-18,Demo,2,Connected
101,9,2025-01-08,Check-in,10,Connected
102,10,2024-01-10,Demo,4,Connected
103,10,2024-04-10,Email,5,Meeting Scheduled
104,10,2024-07-10,Email,10,Meeting Scheduled
105,10,2024-10-09,Call,2,No Response
106,10,2025-01-09,Call,3,Opportunity
107,11,2024-01-11,Email,10,Connected
108,11,2025-01-10,Call,4,Connected
109,12,2024-01-13,Demo,9,Meeting Scheduled
110,12,2024-02-02,Call,6,No Response
111,12,2024-02-22,Email,7,Opportunity
112,12,2024-03-13,Email,7,Meeting Scheduled
113,12,2024-04-03,Call,9,No Response
114,12,2024-04-23,Demo,8,Connected
115,12,2024-05-13,Demo,5,Connected
116,12,2024-06-02,Email,5,Connected
117,12,2024-06-23,Email,5,Connected
118,12,2024-07-13,Call,5,Meeting Scheduled
119,12,2024-08-02,Call,3,Meeting Scheduled
120,12,2024-08-23,Check-in,7,Connected
121,12,2024-09-12,Call,1,No Response
122,12,2024-10-02,Email,2,No Response
123,12,2024-10-22,Email,3,Connected
124,12,2024-11-12,Check-in,5,Connected
125,12,2024-12-02,Email,4,Connected
126,12,2024-12-22,Check-in,7,Meeting Scheduled
127,12,2025-01-12,Email,6,Connected
128,13,2024-01-14,Call,5,Connected
129,13,2024-02-05,Email,10,Connected
130,13,2024-02-28,Email,10,No Response
131,13,2024-03-22,Call,9,Connected
132,13,2024-04-14,Call,4,Meeting Scheduled
133,13,2024-05-07,Call,5,Connected
134,13,2024-05-29,Call,7,Connected
135,13,2024-06-21,Email,6,Connected
136,13,2024-07-14,Call,8,Connected
137,13,2024-08-06,Demo,7,Meeting Scheduled
138,13,2024-08-29,Demo,4,Meeting Scheduled
139,13,2024-09-20,Demo,9,Connected
140,13,2024-10-13,Email,3,Opportunity
141,13,2024-11-05,Call,4,Meeting Scheduled
142,13,2024-11-28,Check-in,6,Meeting Scheduled
143,13,2024-12-21,Call,5,Meeting Scheduled
144,13,2025-01-13,Demo,9,No Response
145,14,2024-01-15,Email,5,No Response
146,14,2024-02-06,Call,10,Connected
147,14,2024-02-29,Call,8,Meeting Scheduled
148,14,2024-03-23,Call,10,Meeting Scheduled
149,14,2024-04-15,Email,2,Opportunity
150,14,2024-05-08,Demo,8,Connected
151,14,2024-05-30,Call,2,Meeting Scheduled
152,14,2024-06-22,Email,8,Connected
153,14,2024-07-15,Email,9,Meeting Scheduled
154,14,2024-08-07,Check-in,7,Meeting Scheduled
155,14,2024-08-30,Email,3,Connected
156,14,2024-09-21,Email,6,Meeting Scheduled
157,14,2024-10-14,Email,6,Meeting Scheduled
158,14,2024-11-06,Call,10,No Response
159,14,2024-11-29,Email,4,Opportunity
160,14,2024-12-22,Call,8,No Response
161,14,2025-01-14,Demo,7,No Response
162,15,2024-01-16,Email,6,Connected
163,15,2024-02-09,Check-in,4,Connected
164,15,2024-03-04,Email,10,Connected
165,15,2024-03-29,Demo,2,Connected
166,15,2024-04-22,Email,10,Connected
167,15,2024-05-16,Call,3,No Response
168,15,2024-06-10,Email,9,Opportunity
169,15,2024-07-04,Email,3,Meeting Scheduled
170,15,2024-07-28,Email,10,Meeting Scheduled
171,15,2024-08-22,Email,9,Meeting Scheduled
172,15,2024-09-15,Call,8,Meeting Scheduled
173,15,2024-10-09,Check-in,9,No Response
174,15,2024-11-03,Demo,7,No Response
175,15,2024-11-27,Check-in,3,No Response
176,15,2024-12-21,Email,1,Connected
177,15,2025-01-15,Check-in,6,No Response
178,16,2024-01-17,Email,6,No Response
179,16,2024-04-17,Email,3,No Response
180,16,2024-07-17,Demo,9,Connected
181,16,2024-10-16,Check-in,3,Connected
182,16,2025-01-16,Check-in,3,No Response
183,17,2024-01-18,Call,9,Opportunity
184,17,2024-02-23,Call,4,Connected
185,17,2024-03-31,Email,1,Connected
186,17,2024-05-06,Email,7,Connected
187,17,2024-06-12,Email,2,No Response
188,17,2024-07-18,Call,2,Meeting Scheduled
189,17,2024-08-24,Email,4,Connected
190,17,2024-09-29,Email,4,Connected
191,17,2024-11-05,Call,1,No Response
192,17,2024-12-11,Email,2,Meeting Scheduled
193,17,2025-01-17,Call,6,Meeting Scheduled
194,18,2024-01-19,Demo,9,No Response
195,18,2024-02-12,Email,4,Connected
196,18,2024-03-07,Email,5,Connected
197,18,2024-04-01,Email,2,Meeting Scheduled
198,18,2024-04-25,Call,8,Meeting Scheduled
199,18,2024-05-19,Email,7,Connected
200,18,2024-06-13,Demo,1,No Response
201,18,2024-07-07,Call,8,No Response
202,18,2024-07-31,Email,9,Opportunity
203,18,2024-08-25,Email,4,Meeting Scheduled
204,18,2024-09-18,Email,4,Opportunity
205,18,2024-10-12,Call,1,Opportunity
206,18,2024-11-06,Email,4,No Response
207,18,2024-11-30,Call,4,Meeting Scheduled
208,18,2024-12-24,Email,10,Connected
209,18,2025-01-18,Email,2,Connected
210,19,2024-01-20,Email,5,No Response
211,19,2024-03-20,Demo,5,No Response
212,19,2024-05-20,Demo,10,No Response
213,19,2024-07-20,Email,2,Opportunity
214,19,2024-09-19,Call,7,No Response
215,19,2024-11-19,Email,9,Opportunity
216,19,2025-01-19,Email,1,Meeting Scheduled
217,20,2024-01-21,Call,2,No Response
218,20,2024-04-03,Demo,5,No Response
219,20,2024-06-15,Call,8,Opportunity
220,20,2024-08-27,Check-in,6,Connected
221,20,2024-11-08,Call,9,Connected
222,20,2025-01-20,Email,2,Meeting Scheduled
223,21,2024-01-22,Call,10,Meeting Scheduled
224,21,2024-05-22,Call,8,Meeting Scheduled
225,21,2024-09-21,Call,1,Connected
226,21,2025-01-21,Check-in,7,Connected
227,22,2024-01-23,Call,5,Connected
228,22,2024-07-23,Email,6,Connected
229,22,2025-01-22,Email,10,Meeting Scheduled
230,23,2024-01-25,Email,2,Opportunity
231,23,2024-04-07,Email,2,Connected
232,23,2024-06-19,Demo,2,Connected
233,23,2024-08-31,Call,9,Connected
234,23,2024-11-12,Check-in,7,Connected
235,23,2025-01-24,Email,5,No Response
236,24,2024-01-26,Demo,7,No Response
237,24,2024-07-26,Call,7,Opportunity
238,24,2025-01-25,Check-in,2,Connected
239,25,2024-01-27,Demo,9,Meeting Scheduled
240,25,2024-02-17,Call,9,Connected
241,25,2024-03-09,Email,8,Connected
242,25,2024-03-31,Call,9,Connected
243,25,2024-04-21,Email,10,Connected
244,25,2024-05-13,Demo,7,Meeting Scheduled
245,25,2024-06-03,Check-in,4,No Response
246,25,2024-06-25,Email,4,Connected
247,25,2024-07-16,Call,10,No Response
248,25,2024-08-07,Email,8,No Response
249,25,2024-08-28,Email,9,Connected
250,25,2024-09-19,Demo,5,Opportunity
251,25,2024-10-10,Email,8,Opportunity
252,25,2024-11-01,Demo,8,No Response
253,25,2024-11-22,Email,2,Connected
254,25,2024-12-14,Call,1,Opportunity
255,25,2025-01-04,Demo,10,No Response
256,25,2025-01-26,Email,5,Connected
257,26,2024-01-28,Call,10,No Response
258,26,2024-03-20,Email,8,Connected
259,26,2024-05-11,Email,9,Connected
260,26,2024-07-02,Email,6,Opportunity
261,26,2024-08-23,Demo,1,No Response
262,26,2024-10-14,Email,5,Meeting Scheduled
263,26,2024-12-05,Demo,8,No Response
264,26,2025-01-27,Call,9,No Response
265,27,2024-01-29,Call,1,Connected
266,27,2024-03-05,Demo,1,Opportunity
267,27,2024-04-11,Call,2,Meeting Scheduled
268,27,2024-05-17,Email,6,Connected
269,27,2024-06-23,Email,2,Meeting Scheduled
270,27,2024-07-29,Call,2,Connected
271,27,2024-09-04,Email,2,No Response
272,27,2024-10-10,Call,8,Meeting Scheduled
273,27,2024-11-16,Demo,1,Connected
274,27,2024-12-22,Email,5,Connected
275,27,2025-01-28,Email,8,Opportunity
276,28,2024-01-30,Call,6,Opportunity
277,28,2024-02-21,Email,4,No Response
278,28,2024-03-15,Email,3,Meeting Scheduled
279,28,2024-04-07,Call,5,Connected
280,28,2024-04-30,Demo,3,Connected
281,28,2024-05-23,Email,6,Connected
282,28,2024-06-14,Email,4,No Response
283,28,2024-07-07,Check-in,4,No Response
284,28,2024-07-30,Email,2,No Response
285,28,2024-08-22,Demo,1,Connected
286,28,2024-09-14,Call,9,Connected
287,28,2024-10-06,Demo,4,Connected
288,28,2024-10-29,Demo,6,Connected
289,28,2024-11-21,Call,1,Connected
290,28,2024-12-14,Demo,1,No Response
291,28,2025-01-06,Call,10,Connected
292,28,2025-01-29,Email,1,Meeting Scheduled
293,29,2024-01-31,Call,3,Meeting Scheduled
294,29,2024-02-21,Demo,8,No Response
295,29,2024-03-13,Demo,10,Connected
296,29,2024-04-04,Email,2,Meeting Scheduled
297,29,2024-04-25,Demo,4,No Response
298,29,2024-05-17,Demo,3,Connected
299,29,2024-06-07,Email,9,Connected
300,29,2024-06-29,Call,2,Meeting Scheduled
301,29,2024-07-20,Email,9,Connected
302,29,2024-08-11,Call,1,Connected
303,29,2024-09-01,Demo,8,No Response
304,29,2024-09-23,Demo,4,No Response
305,29,2024-10-14,Email,7,Meeting Scheduled
306,29,2024-11-05,Call,4,No Response
307,29,2024-11-26,Check-in,8,Connected
308,29,2024-12-18,Demo,7,Meeting Scheduled
309,29,2025-01-08,Call,1,Connected
310,29,2025-01-30,Call,8,Connected
311,30,2024-02-01,Email,4,Connected
312,30,2024-05-02,Call,10,Meeting Scheduled
313,30,2024-08-01,Check-in,6,No Response
314,30,2024-10-31,Email,8,Meeting Scheduled
315,30,2025-01-31,Email,3,Connected
316,31,2024-02-02,Demo,1,Connected
317,31,2024-03-03,Check-in,6,Opportunity
318,31,2024-04-02,Call,4,Connected
319,31,2024-05-03,Demo,10,Connected
320,31,2024-06-02,Demo,6,No Response
321,31,2024-07-03,Demo,7,No Response
322,31,2024-08-02,Call,3,Meeting Scheduled
323,31,2024-09-01,Email,7,Opportunity
324,31,2024-10-02,Call,10,Connected
325,31,2024-11-01,Call,5,Connected
326,31,2024-12-02,Email,3,Connected
327,31,2025-01-01,Call,10,No Response
328,31,2025-02-01,Email,7,Meeting Scheduled
329,32,2024-02-03,Call,9,Meeting Scheduled
330,32,2024-02-25,Email,4,Connected
331,32,2024-03-19,Call,7,Meeting Scheduled
332,32,2024-04-11,Call,1,No Response
333,32,2024-05-04,Email,9,Opportunity
334,32,2024-05-27,Email,1,No Response
335,32,2024-06-18,Demo,4,Connected
336,32,2024-07-11,Demo,3,Connected
337,32,2024-08-03,Email,9,Meeting Scheduled
338,32,2024-08-26,Call,3,Connected
339,32,2024-09-18,Call,1,Connected
340,32,2024-10-10,Email,6,Connected
341,32,2024-11-02,Email,5,No Response
342,32,2024-11-25,Demo,3,Meeting Scheduled
343,32,2024-12-18,Call,3,Opportunity
344,32,2025-01-10,Check-in,9,Connected
345,32,2025-02-02,Email,7,No Response
346,33,2024-02-05,Call,9,Connected
347,33,2024-08-05,Demo,4,Meeting Scheduled
348,33,2025-02-04,Email,3,No Response
349,34,2024-02-06,Call,10,Meeting Scheduled
350,34,2024-03-17,Call,8,Connected
351,34,2024-04-27,Call,7,Meeting Scheduled
352,34,2024-06-06,Call,4,Opportunity
353,34,2024-07-17,Email,2,No Response
354,34,2024-08-26,Call,8,Meeting Scheduled
355,34,2024-10-06,Email,1,No Response
356,34,2024-11-15,Call,2,Meeting Scheduled
357,34,2024-12-26,Demo,4,Connected
358,34,2025-02-05,Call,3,Connected
359,35,2024-02-07,Check-in,6,No Response
360,36,2024-02-08,Email,8,Meeting Scheduled
361,36,2024-02-28,Demo,8,Connected
362,36,2024-03-19,Call,8,Meeting Scheduled
363,36,2024-04-08,Demo,4,Connected
364,36,2024-04-29,Email,2,Opportunity
365,36,2024-05-19,Email,4,No Response
366,36,2024-06-08,Email,10,Connected
367,36,2024-06-28,Demo,10,Meeting Scheduled
368,36,2024-07-19,Check-in,8,Meeting Scheduled
369,36,2024-08-08,Email,7,Opportunity
370,36,2024-08-28,Email,9,Connected
371,36,2024-09-18,Call,1,Connected
372,36,2024-10-08,Check-in,4,Connected
373,36,2024-10-28,Call,3,Connected
374,36,2024-11-17,Email,2,Connected
375,36,2024-12-08,Call,6,Connected
376,36,2024-12-28,Call,9,No Response
377,36,2025-01-17,Call,7,Connected
378,36,2025-02-07,Demo,3,No Response
379,37,2024-02-09,Email,8,No Response
380,37,2024-03-02,Demo,1,Meeting Scheduled
381,37,2024-03-25,Email,10,Meeting Scheduled
382,37,2024-04-17,Demo,9,Connected
383,37,2024-05-10,Email,10,No Response
384,37,2024-06-02,Check-in,1,No Response
385,37,2024-06-24,Email,1,No Response
386,37,2024-07-17,Call,3,Connected
387,37,2024-08-09,Email,8,No Response
388,37,2024-09-01,Call,4,Connected
389,37,2024-09-24,Email,6,Connected
390,37,2024-10-16,Email,10,Connected
391,37,2024-11-08,Email,8,Connected
392,37,2024-12-01,Demo,8,Connected
393,37,2024-12-24,Demo,1,No Response
394,37,2025-01-16,Call,2,No Response
395,37,2025-02-08,Check-in,7,No Response
396,38,2024-02-10,Call,6,Meeting Scheduled
397,38,2024-03-03,Call,6,Connected
398,38,2024-03-26,Demo,5,Opportunity
399,38,2024-04-18,Email,2,Meeting Scheduled
400,38,2024-05-11,Email,1,Connected
401,38,2024-06-03,Demo,8,Connected
402,38,2024-06-25,Call,10,Connected
403,38,2024-07-18,Demo,2,No Response
404,38,2024-08-10,Call,5,Connected
405,38,2024-09-02,Email,7,Opportunity
406,38,2024-09-25,Email,10,Connected
407,38,2024-10-17,Call,6,Connected
408,38,2024-11-09,Call,10,Connected
409,38,2024-12-02,Call,4,Opportunity
410,38,2024-12-25,Demo,2,Connected
411,38,2025-01-17,Call,6,No Response
412,38,2025-02-09,Demo,2,No Response
413,39,2024-02-11,Call,10,Connected
414,39,2024-05-12,Demo,4,Meeting Scheduled
415,39,2024-08-11,Email,2,No Response
416,39,2024-11-10,Call,8,Connected
417,39,2025-02-10,Call,10,No Response
418,40,2024-02-12,Call,2,Connected
419,40,2024-03-03,Email,3,Opportunity
420,40,2024-03-23,Demo,2,No Response
421,40,2024-04-12,Call,3,Meeting Scheduled
422,40,2024-05-03,Demo,4,Connected
423,40,2024-05-23,Email,2,Meeting Scheduled
424,40,2024-06-12,Email,10,Connected
425,40,2024-07-02,Demo,10,Meeting Scheduled
426,40,2024-07-23,Demo,9,No Response
427,40,2024-08-12,Email,5,No Response
428,40,2024-09-01,Demo,6,Meeting Scheduled
429,40,2024-09-22,Demo,2,No Response
430,40,2024-10-12,Call,9,Connected
431,40,2024-11-01,Call,8,No Response
432,40,2024-11-21,Demo,4,No Response
433,40,2024-12-12,Demo,8,Opportunity
434,40,2025-01-01,Call,4,Opportunity
435,40,2025-01-21,Check-in,1,Connected
436,40,2025-02-11,Call,2,No Response
437,41,2024-02-13,Email,5,Connected
438,42,2024-02-14,Call,5,Connected
439,42,2024-03-18,Call,8,Connected
440,42,2024-04-20,Check-in,9,Connected
441,42,2024-05-23,Call,10,Connected
442,42,2024-06-25,Call,2,Opportunity
443,42,2024-07-28,Call,10,Connected
444,42,2024-08-31,Email,6,Connected
445,42,2024-10-03,Email,2,No Response
446,42,2024-11-05,Email,5,Meeting Scheduled
447,42,2024-12-08,Demo,2,Connected
448,42,2025-01-10,Check-in,4,Connected
449,42,2025-02-13,Call,6,Connected
450,44,2024-02-17,Email,4,Opportunity
451,44,2024-06-17,Check-in,9,No Response
452,44,2024-10-17,Call,5,No Response
453,44,2025-02-16,Demo,5,Connected
454,45,2024-02-18,Email,7,Connected
455,45,2024-03-19,Call,5,Meeting Scheduled
456,45,2024-04-18,Email,7,Meeting Scheduled
457,45,2024-05-19,Call,6,No Response
458,45,2024-06-18,Email,2,Connected
459,45,2024-07-19,Call,8,Meeting Scheduled
460,45,2024-08-18,Email,2,No Response
461,45,2024-09-17,Call,4,Connected
462,45,2024-10-18,Demo,4,Connected
463,45,2024-11-17,Call,5,Opportunity
464,45,2024-12-18,Check-in,3,No Response
465,45,2025-01-17,Call,10,Connected
466,45,2025-02-17,Email,1,No Response
467,46,2024-02-19,Call,1,Connected
468,46,2025-02-18,Call,10,Connected
469,47,2024-02-20,Call,1,Connected
470,47,2024-08-20,Call,10,Connected
471,47,2025-02-19,Call,10,Connected
472,48,2024-02-21,Demo,3,Meeting Scheduled
473,48,2024-03-25,Call,6,No Response
474,48,2024-04-27,Call,1,No Response
475,48,2024-05-30,Check-in,8,Connected
476,48,2024-07-02,Check-in,8,Meeting Scheduled
477,48,2024-08-04,Email,2,No Response
478,48,2024-09-07,Call,7,Connected
479,48,2024-10-10,Demo,7,Connected
480,48,2024-11-12,Call,3,Meeting Scheduled
481,48,2024-12-15,Email,1,No Response
482,48,2025-01-17,Email,5,Connected
483,48,2025-02-20,Email,7,No Response
484,49,2024-02-22,Email,1,Connected
485,49,2024-04-14,Email,9,Connected
486,49,2024-06-05,Check-in,1,Opportunity
487,49,2024-07-27,Call,4,Meeting Scheduled
488,49,2024-09-17,Demo,9,No Response
489,49,2024-11-08,Email,9,No Response
490,49,2024-12-30,Check-in,8,No Response
491,49,2025-02-21,Call,5,Connected
492,50,2024-02-23,Call,10,Connected
493,50,2024-03-18,Call,2,Meeting Scheduled
494,50,2024-04-11,Call,8,Connected
495,50,2024-05-06,Call,4,Connected
496,50,2024-05-30,Email,6,Connected
497,50,2024-06-23,Demo,2,Connected
498,50,2024-07-18,Call,10,Meeting Scheduled
499,50,2024-08-11,Call,4,Meeting Scheduled
500,50,2024-09-04,Email,7,No Response
501,50,2024-09-29,Call,5,Connected
502,50,2024-10-23,Email,3,Opportunity
503,50,2024-11-16,Check-in,10,No Response
504,50,2024-12-11,Demo,6,Connected
505,50,2025-01-04,Email,6,Connected
506,50,2025-01-28,Call,5,Meeting Scheduled
507,50,2025-02-22,Check-in,8,Connected
508,51,2024-02-24,Check-in,4,Connected
509,51,2024-08-24,Demo,9,Opportunity
510,51,2025-02-23,Email,10,No Response
511,52,2024-02-25,Check-in,3,Connected
512,52,2024-03-22,Email,2,Meeting Scheduled
513,52,2024-04-17,Email,1,Connected
514,52,2024-05-13,Demo,10,Opportunity
515,52,2024-06-08,Email,8,Opportunity
516,52,2024-07-04,Demo,5,Opportunity
517,52,2024-07-30,Email,10,Opportunity
518,52,2024-08-25,Email,2,No Response
519,52,2024-09-20,Check-in,3,Connected
520,52,2024-10-16,Email,4,No Response
521,52,2024-11-11,Call,4,No Response
522,52,2024-12-07,Demo,6,Meeting Scheduled
523,52,2025-01-02,Call,1,Connected
524,52,2025-01-28,Call,6,Meeting Scheduled
525,52,2025-02-24,Demo,8,Connected
526,53,2024-02-26,Demo,6,No Response
527,53,2024-03-17,Check-in,2,Meeting Scheduled
528,53,2024-04-06,Demo,9,No Response
529,53,2024-04-26,Check-in,5,Opportunity
530,53,2024-05-17,Call,5,No Response
531,53,2024-06-06,Email,9,No Response
532,53,2024-06-26,Call,2,No Response
533,53,2024-07-16,Check-in,7,Connected
534,53,2024-08-06,Demo,4,Connected
535,53,2024-08-26,Email,7,Meeting Scheduled
536,53,2024-09-15,Call,9,Meeting Scheduled
537,53,2024-10-06,Email,2,Connected
538,53,2024-10-26,Check-in,3,Opportunity
539,53,2024-11-15,Email,2,Connected
540,53,2024-12-05,Call,3,No Response
541,53,2024-12-26,Call,5,No Response
542,53,2025-01-15,Call,7,No Response
543,53,2025-02-04,Demo,2,No Response
544,53,2025-02-25,Email,6,Meeting Scheduled
545,54,2024-02-27,Email,6,Connected
546,54,2024-04-03,Email,6,No Response
547,54,2024-05-10,Email,2,No Response
548,54,2024-06-15,Email,3,No Response
549,54,2024-07-22,Email,7,Connected
550,54,2024-08-27,Demo,6,Meeting Scheduled
551,54,2024-10-03,Email,6,Connected
552,54,2024-11-08,Check-in,4,No Response
553,54,2024-12-15,Call,2,No Response
554,54,2025-01-20,Check-in,1,Connected
555,54,2025-02-26,Call,5,Connected
556,55,2024-02-29,Demo,6,Meeting Scheduled
557,55,2024-05-30,Demo,7,Meeting Scheduled
558,55,2024-08-29,Call,8,Opportunity
559,55,2024-11-28,Demo,7,No Response
560,55,2025-02-28,Demo,3,Meeting Scheduled
561,56,2024-03-01,Call,10,No Response
562,56,2024-03-27,Call,1,Connected
563,56,2024-04-22,Call,2,No Response
564,56,2024-05-18,Email,9,No Response
565,56,2024-06-13,Demo,7,Connected
566,56,2024-07-09,Email,8,Opportunity
567,56,2024-08-04,Call,9,Meeting Scheduled
568,56,2024-08-30,Email,9,Connected
569,56,2024-09-25,Check-in,8,No Response
570,56,2024-10-21,Check-in,6,No Response
571,56,2024-11-16,Email,3,No Response
572,56,2024-12-12,Demo,2,Meeting Scheduled
573,56,2025-01-07,Call,3,Connected
574,56,2025-02-02,Call,4,Meeting Scheduled
575,56,2025-03-01,Email,10,Meeting Scheduled
576,57,2024-03-02,Call,3,Connected
577,57,2024-03-30,Call,7,Connected
578,57,2024-04-27,Demo,2,Connected
579,57,2024-05-25,Call,7,Connected
580,57,2024-06-22,Call,8,Connected
581,57,2024-07-20,Call,2,Meeting Scheduled
582,57,2024-08-17,Call,7,Opportunity
583,57,2024-09-14,Call,7,Opportunity
584,57,2024-10-12,Demo,4,Connected
585,57,2024-11-09,Email,9,No Response
586,57,2024-12-07,Email,5,No Response
587,57,2025-01-04,Call,2,Meeting Scheduled
588,57,2025-02-01,Demo,8,No Response
589,57,2025-03-02,Call,2,Meeting Scheduled
590,58,2024-03-03,Demo,5,No Response
591,58,2024-03-31,Check-in,9,No Response
592,58,2024-04-28,Email,9,Connected
593,58,2024-05-26,Call,4,Connected
594,58,2024-06-23,Email,10,Connected
595,58,2024-07-21,Check-in,8,No Response
596,58,2024-08-18,Email,9,No Response
597,58,2024-09-15,Email,10,Connected
598,58,2024-10-13,Email,5,No Response
599,58,2024-11-10,Check-in,6,Connected
600,58,2024-12-08,Email,3,Meeting Scheduled
601,58,2025-01-05,Demo,6,Connected
602,58,2025-02-02,Call,3,Connected
603,58,2025-03-03,Email,8,Opportunity
604,59,2024-03-04,Email,1,No Response
605,59,2024-05-16,Demo,3,Connected
606,59,2024-07-28,Email,10,Opportunity
607,59,2024-10-09,Demo,7,Connected
608,59,2024-12-21,Call,9,Connected
609,59,2025-03-04,Email,9,No Response
610,60,2024-03-05,Call,4,No Response
611,61,2024-03-06,Call,8,No Response
612,61,2024-04-15,Email,1,Connected
613,61,2024-05-26,Demo,2,No Response
614,61,2024-07-05,Email,3,No Response
615,61,2024-08-15,Demo,7,Meeting Scheduled
616,61,2024-09-24,Email,9,No Response
617,61,2024-11-04,Demo,6,Connected
618,61,2024-12-14,Call,5,Connected
619,61,2025-01-24,Email,1,No Response
620,61,2025-03-06,Email,5,No Response
621,62,2024-03-07,Call,4,No Response
622,62,2024-04-16,Email,9,No Response
623,62,2024-05-27,Demo,10,Meeting Scheduled
624,62,2024-07-06,Email,10,No Response
625,62,2024-08-16,Call,4,Opportunity
626,62,2024-09-25,Email,8,Connected
627,62,2024-11-05,Email,7,Meeting Scheduled
628,62,2024-12-15,Call,9,Connected
629,62,2025-01-25,Demo,8,Meeting Scheduled
630,62,2025-03-07,Check-in,4,Opportunity
631,63,2024-03-08,Email,10,No Response
632,63,2024-04-05,Email,8,No Response
633,63,2024-05-03,Demo,6,No Response
634,63,2024-05-31,Call,9,Connected
635,63,2024-06-28,Call,9,Meeting Scheduled
636,63,2024-07-26,Demo,8,Meeting Scheduled
637,63,2024-08-23,Call,10,No Response
638,63,2024-09-20,Call,5,Connected
