event_id,customer_id,event_date,feature_category,event_count
84,2,2024-03-20,Reporting,14
85,2,2024-03-21,Core,10
86,2,2024-03-22,Integration,6
87,2,2024-03-23,Reporting,19
88,2,2024-03-24,Reporting,14
89,2,2024-03-26,Reporting,17
90,2,2024-03-27,Reporting,1
91,2,2024-03-28,Admin,8
92,2,2024-03-29,Reporting,15
93,2,2024-03-30,Core,11
94,2,2024-03-31,Admin,4
95,2,2024-04-01,Core,6
96,2,2024-04-03,Reporting,11
97,2,2024-04-04,Admin,5
98,2,2024-04-05,Core,16
99,2,2024-04-06,Core,4
100,2,2024-04-07,Core,17
101,2,2024-04-08,Reporting,11
102,2,2024-04-10,Core,9
103,2,2024-04-11,Core,18
104,2,2024-04-12,Reporting,15
105,2,2024-04-13,Core,19
106,2,2024-04-14,Core,14
107,2,2024-04-15,Core,17
108,2,2024-04-16,Core,14
109,2,2024-04-18,Core,13
110,2,2024-04-19,Core,19
111,2,2024-04-20,Core,15
112,2,2024-04-21,Reporting,6
113,2,2024-04-22,Core,10
114,2,2024-04-23,Reporting,17
115,2,2024-04-24,Admin,9
116,2,2024-04-26,Core,7
117,2,2024-04-27,Reporting,18
118,2,2024-04-28,Core,1
119,2,2024-04-29,Core,2
120,2,2024-04-30,Core,4
121,2,2024-05-01,Core,4
122,2,2024-05-03,Reporting,18
123,2,2024-05-04,Integration,3
124,2,2024-05-05,Core,19
125,2,2024-05-06,Core,11
126,2,2024-05-07,Reporting,14
127,2,2024-05-08,Core,16
128,2,2024-05-09,Reporting,4
129,2,2024-05-11,Reporting,7
130,2,2024-05-12,Admin,16
131,2,2024-05-13,Reporting,4
132,2,2024-05-14,Core,11
133,2,2024-05-15,Integration,12
134,2,2024-05-16,Integration,18
135,2,2024-05-18,Core,7
136,2,2024-05-19,Reporting,13
137,2,2024-05-20,Core,12
138,2,2024-05-21,Core,19
139,2,2024-05-22,Reporting,5
140,2,2024-05-23,Core,10
141,2,2024-05-24,Core,5
142,2,2024-05-26,Integration,7
143,2,2024-05-27,Admin,12
144,2,2024-05-28,Integration,1
145,2,2024-05-29,Reporting,15
146,2,2024-05-30,Reporting,7
147,2,2024-05-31,Core,18
148,2,2024-06-01,Reporting,11
149,2,2024-06-03,Core,6
150,2,2024-06-04,Core,1
151,2,2024-06-05,Integration,11
152,2,2024-06-06,Integration,18
153,2,2024-06-07,Core,2
154,2,2024-06-08,Integration,2
155,2,2024-06-10,Integration,6
156,2,2024-06-11,Core,16
157,2,2024-06-12,Integration,7
158,2,2024-06-13,Reporting,19
159,2,2024-06-14,Reporting,9
160,2,2024-06-15,Core,5
161,2,2024-06-16,Reporting,10
162,2,2024-06-18,Core,10
163,2,2024-06-19,Reporting,15
164,2,2024-06-20,Reporting,15
165,2,2024-06-21,Core,10
166,2,2024-06-22,Core,15
167,2,2024-06-23,Reporting,12
168,2,2024-06-25,Core,13
169,2,2024-06-26,Admin,3
170,2,2024-06-27,Core,15
171,2,2024-06-28,Reporting,3
172,2,2024-06-29,Core,16
173,2,2024-06-30,Reporting,16
174,2,2024-07-01,Core,14
175,2,2024-07-03,Admin,7
176,2,2024-07-04,Core,6
177,2,2024-07-05,Integration,17
178,2,2024-07-06,Reporting,1
179,2,2024-07-07,Core,16
180,2,2024-07-08,Integration,17
181,2,2024-07-09,Core,12
182,2,2024-07-11,Admin,14
183,2,2024-07-12,Reporting,9
184,2,2024-07-13,Core,11
185,2,2024-07-14,Reporting,5
186,2,2024-07-15,Admin,18
187,2,2024-07-16,Admin,11
188,2,2024-07-18,Reporting,18
189,2,2024-07-19,Reporting,19
190,2,2024-07-20,Core,15
191,2,2024-07-21,Core,1
192,2,2024-07-22,Core,2
193,2,2024-07-23,Core,8
194,2,2024-07-24,Reporting,16
195,2,2024-07-26,Core,13
196,2,2024-07-27,Core,18
197,2,2024-07-28,Integration,2
198,2,2024-07-29,Reporting,13
199,2,2024-07-30,Core,12
200,2,2024-07-31,Core,18
201,2,2024-08-02,Reporting,11
202,2,2024-08-03,Integration,7
203,2,2024-08-04,Core,14
204,2,2024-08-05,Admin,13
205,2,2024-08-06,Core,9
206,2,2024-08-07,Reporting,11
207,2,2024-08-08,Admin,19
208,2,2024-08-10,Core,1
209,2,2024-08-11,Integration,17
210,2,2024-08-12,Admin,3
211,2,2024-08-13,Core,3
212,2,2024-08-14,Core,6
213,2,2024-08-15,Core,16
214,2,2024-08-16,Reporting,3
215,2,2024-08-18,Core,14
216,2,2024-08-19,Core,8
217,2,2024-08-20,Core,9
218,2,2024-08-21,Core,19
219,2,2024-08-22,Reporting,11
220,2,2024-08-23,Reporting,13
221,2,2024-08-25,Reporting,15
222,2,2024-08-26,Core,7
223,2,2024-08-27,Reporting,13
224,2,2024-08-28,Core,19
225,2,2024-08-29,Integration,19
226,2,2024-08-30,Core,18
227,2,2024-08-31,Core,6
228,2,2024-09-02,Core,13
229,2,2024-09-03,Core,8
230,2,2024-09-04,Reporting,13
231,2,2024-09-05,Core,5
232,2,2024-09-06,Admin,17
233,2,2024-09-07,Reporting,2
234,2,2024-09-09,Core,18
235,2,2024-09-10,Core,11
236,2,2024-09-11,Core,6
237,2,2024-09-12,Core,11
238,2,2024-09-13,Reporting,8
239,2,2024-09-14,Core,3
240,2,2024-09-15,Core,19
241,2,2024-09-17,Reporting,17
242,2,2024-09-18,Core,13
243,2,2024-09-19,Core,1
244,2,2024-09-20,Core,13
245,2,2024-09-21,Core,11
246,2,2024-09-22,Reporting,16
247,2,2024-09-23,Reporting,19
248,2,2024-09-25,Integration,16
249,2,2024-09-26,Core,9
250,2,2024-09-27,Reporting,19
251,2,2024-09-28,Core,16
252,2,2024-09-29,Core,18
253,2,2024-09-30,Core,13
254,2,2024-10-02,Reporting,6
255,2,2024-10-03,Reporting,16
256,2,2024-10-04,Core,10
257,2,2024-10-05,Integration,18
258,2,2024-10-06,Core,9
259,2,2024-10-07,Reporting,4
260,2,2024-10-08,Reporting,9
261,2,2024-10-10,Core,4
262,2,2024-10-11,Core,15
263,2,2024-10-12,Core,5
264,2,2024-10-13,Core,15
265,2,2024-10-14,Reporting,2
266,2,2024-10-15,Integration,4
267,2,2024-10-16,Admin,10
268,2,2024-10-18,Core,9
269,2,2024-10-19,Integration,16
270,2,2024-10-20,Core,9
271,2,2024-10-21,Core,11
272,2,2024-10-22,Core,10
273,2,2024-10-23,Integration,13
274,2,2024-10-25,Reporting,10
275,2,2024-10-26,Admin,9
276,2,2024-10-27,Integration,2
277,2,2024-10-28,Reporting,7
278,2,2024-10-29,Admin,7
279,2,2024-10-30,Core,14
280,2,2024-10-31,Core,5
281,2,2024-11-02,Integration,18
282,2,2024-11-03,Core,17
283,2,2024-11-04,Core,13
284,2,2024-11-05,Core,10
285,2,2024-11-06,Reporting,3
286,2,2024-11-07,Core,18
287,2,2024-11-09,Core,5
288,2,2024-11-10,Core,19
289,2,2024-11-11,Reporting,16
290,2,2024-11-12,Integration,9
291,2,2024-11-13,Core,12
292,2,2024-11-14,Integration,14
293,2,2024-11-15,Core,6
294,2,2024-11-17,Reporting,19
295,2,2024-11-18,Integration,16
296,2,2024-11-19,Core,8
297,2,2024-11-20,Integration,18
298,2,2024-11-21,Core,19
299,2,2024-11-22,Integration,13
300,2,2024-11-23,Integration,10
301,2,2024-11-25,Integration,6
302,2,2024-11-26,Reporting,6
303,2,2024-11-27,Reporting,17
304,2,2024-11-28,Reporting,11
305,2,2024-11-29,Reporting,19
306,2,2024-11-30,Core,3
307,2,2024-12-02,Core,14
308,2,2024-12-03,Core,16
309,2,2024-12-04,Core,7
310,2,2024-12-05,Integration,8
311,2,2024-12-06,Integration,16
312,2,2024-12-07,Core,7
313,2,2024-12-08,Core,1
314,2,2024-12-10,Reporting,8
315,2,2024-12-11,Reporting,4
316,2,2024-12-12,Reporting,3
317,2,2024-12-13,Core,8
318,2,2024-12-14,Integration,1
319,2,2024-12-15,Core,6
320,2,2024-12-17,Core,9
321,2,2024-12-18,Integration,10
322,2,2024-12-19,Reporting,18
323,2,2024-12-20,Core,5
324,2,2024-12-21,Reporting,17
325,2,2024-12-22,Core,5
326,2,2024-12-23,Admin,3
327,2,2024-12-25,Reporting,3
328,2,2024-12-26,Integration,16
329,2,2024-12-27,Reporting,17
330,2,2024-12-28,Core,18
331,2,2024-12-29,Core,14
332,2,2024-12-30,Core,15
333,2,2024-12-31,Admin,15
334,2,2025-01-02,Integration,8
335,2,2025-01-03,Reporting,15
336,2,2025-01-04,Integration,2
337,2,2025-01-05,Integration,17
338,2,2025-01-06,Core,2
339,2,2025-01-07,Core,12
340,2,2025-01-09,Reporting,2
341,2,2025-01-10,Core,7
342,2,2025-01-11,Integration,6
343,2,2025-01-12,Core,2
344,2,2025-01-13,Core,14
345,2,2025-01-14,Integration,3
346,2,2025-01-15,Integration,18
347,2,2025-01-17,Reporting,17
348,2,2025-01-18,Core,16
349,2,2025-01-19,Core,2
350,2,2025-01-20,Admin,7
351,2,2025-01-21,Core,6
352,2,2025-01-22,Core,5
353,2,2025-01-24,Core,16
354,2,2025-01-25,Core,5
355,2,2025-01-26,Core,5
356,2,2025-01-27,Integration,2
357,2,2025-01-28,Core,4
358,2,2025-01-29,Reporting,2
359,2,2025-01-30,Core,6
360,2,2025-02-01,Reporting,1
361,2,2025-02-02,Reporting,1
362,2,2025-02-03,Core,1
363,2,2025-02-04,Core,4
364,2,2025-02-05,Core,11
365,2,2025-02-06,Reporting,1
366,2,2025-02-07,Reporting,9
367,2,2025-02-09,Reporting,6
368,2,2025-02-10,Core,2
369,2,2025-02-11,Core,10
370,2,2025-02-12,Core,17
371,2,2025-02-13,Core,18
372,2,2025-02-14,Core,17
373,2,2025-02-16,Core,7
374,2,2025-02-17,Integration,17
375,2,2025-02-18,Integration,19
376,2,2025-02-19,Core,2
377,2,2025-02-20,Core,3
378,2,2025-02-21,Integration,18
379,2,2025-02-22,Admin,8
380,2,2025-02-24,Core,1
381,2,2025-02-25,Integration,17
382,2,2025-02-26,Integration,11
383,2,2025-02-27,Core,14
384,2,2025-02-28,Integration,15
385,2,2025-03-01,Core,19
386,2,2025-03-03,Core,6
387,2,2025-03-04,Core,6
388,2,2025-03-05,Admin,17
389,2,2025-03-06,Core,15
390,2,2025-03-07,Core,3
391,2,2025-03-08,Core,11
392,2,2025-03-09,Admin,19
393,2,2025-03-11,Core,2
394,2,2025-03-12,Integration,16
395,2,2025-03-13,Reporting,17
396,2,2025-03-14,Core,15
397,2,2025-03-15,Integration,3
398,2,2025-03-16,Reporting,19
399,2,2025-03-17,Core,2
400,2,2025-03-19,Admin,1
401,2,2025-03-20,Integration,6
402,2,2025-03-21,Core,19
403,2,2025-03-22,Core,16
404,2,2025-03-23,Core,8
405,2,2025-03-24,Core,1
406,2,2025-03-26,Integration,11
407,2,2025-03-27,Core,7
408,2,2025-03-28,Core,7
409,2,2025-03-29,Reporting,2
410,2,2025-03-30,Core,4
411,2,2025-03-31,Integration,16
412,2,2025-04-01,Core,19
413,2,2025-04-03,Reporting,18
414,2,2025-04-04,Core,5
415,2,2025-04-05,Integration,9
416,2,2025-04-06,Reporting,15
417,2,2025-04-07,Reporting,6
418,2,2025-04-08,Integration,6
419,2,2025-04-10,Core,13
420,2,2025-04-11,Admin,12
421,2,2025-04-12,Admin,1
422,2,2025-04-13,Core,13
423,2,2025-04-14,Integration,5
424,2,2025-04-15,Core,1
425,2,2025-04-16,Reporting,6
426,2,2025-04-18,Core,14
427,2,2025-04-19,Core,3
428,2,2025-04-20,Reporting,2
429,2,2025-04-21,Core,9
430,2,2025-04-22,Admin,3
431,2,2025-04-23,Integration,18
432,2,2025-04-24,Admin,9
433,2,2025-04-26,Core,14
434,2,2025-04-27,Reporting,6
435,2,2025-04-28,Core,7
436,2,2025-04-29,Integration,4
437,2,2025-04-30,Reporting,17
438,2,2025-05-01,Core,19
439,2,2025-05-03,Core,10
440,2,2025-05-04,Reporting,12
441,2,2025-05-05,Reporting,9
442,2,2025-05-06,Reporting,17
443,2,2025-05-07,Core,18
444,2,2025-05-08,Core,4
445,2,2025-05-09,Reporting,13
446,2,2025-05-11,Core,1
447,2,2025-05-12,Integration,5
448,2,2025-05-13,Core,6
449,2,2025-05-14,Core,8
450,2,2025-05-15,Core,1
451,2,2025-05-16,Core,5
452,2,2025-05-18,Integration,9
453,2,2025-05-19,Core,17
454,2,2025-05-20,Core,16
455,2,2025-05-21,Reporting,11
456,2,2025-05-22,Core,18
457,2,2025-05-23,Integration,10
458,2,2025-05-24,Reporting,18
459,2,2025-05-26,Reporting,5
460,2,2025-05-27,Reporting,17
461,2,2025-05-28,Core,17
462,2,2025-05-29,Core,4
463,2,2025-05-30,Admin,15
464,2,2025-05-31,Integration,9
465,2,2025-06-01,Core,15
466,2,2025-06-03,Core,19
467,2,2025-06-04,Core,14
468,2,2025-06-05,Admin,18
469,2,2025-06-06,Integration,3
470,2,2025-06-07,Core,10
471,2,2025-06-08,Reporting,12
472,2,2025-06-10,Integration,17
473,2,2025-06-11,Core,3
474,2,2025-06-12,Core,3
475,2,2025-06-13,Admin,4
476,2,2025-06-14,Admin,7
477,2,2025-06-15,Core,4
478,2,2025-06-16,Integration,1
479,2,2025-06-18,Core,10
480,2,2025-06-19,Core,16
481,2,2025-06-20,Core,7
482,2,2025-06-21,Core,16
483,2,2025-06-22,Core,7
484,2,2025-06-23,Reporting,11
485,2,2025-06-25,Core,14
486,3,2024-01-03,Core,13
487,3,2024-01-05,Core,3
488,3,2024-01-07,Admin,11
489,3,2024-01-09,Reporting,12
490,3,2024-01-11,Core,12
491,3,2024-01-13,Admin,1
492,3,2024-01-16,Reporting,2
493,3,2024-01-18,Reporting,16
494,3,2024-01-20,Core,2
495,3,2024-01-22,Core,15
496,3,2024-01-24,Core,17
497,3,2024-01-27,Integration,2
498,3,2024-01-29,Core,14
499,3,2024-01-31,Reporting,12
500,3,2024-02-02,Reporting,4
501,3,2024-02-04,Core,19
502,3,2024-02-06,Core,14
503,3,2024-02-09,Core,4
504,3,2024-02-11,Core,12
505,3,2024-02-13,Integration,19
506,3,2024-02-15,Core,16
507,3,2024-02-17,Reporting,11
508,3,2024-02-20,Core,7
509,3,2024-02-22,Integration,11
510,3,2024-02-24,Core,3
511,3,2024-02-26,Core,5
512,3,2024-02-28,Core,3
513,3,2024-03-02,Core,17
514,3,2024-03-04,Reporting,8
515,3,2024-03-06,Core,11
516,3,2024-03-08,Reporting,10
517,3,2024-03-10,Reporting,3
518,3,2024-03-12,Core,14
519,3,2024-03-15,Reporting,6
520,3,2024-03-17,Reporting,14
521,3,2024-03-19,Reporting,10
522,3,2024-03-21,Reporting,17
523,3,2024-03-23,Integration,19
524,3,2024-03-26,Core,7
525,3,2024-03-28,Reporting,13
526,3,2024-03-30,Reporting,4
527,3,2024-04-01,Reporting,19
528,3,2024-04-03,Admin,17
529,3,2024-04-06,Reporting,6
530,3,2024-04-08,Core,19
531,3,2024-04-10,Core,12
532,3,2024-04-12,Core,8
533,3,2024-04-14,Core,4
534,3,2024-04-16,Core,16
535,3,2024-04-19,Core,10
536,3,2024-04-21,Core,14
537,3,2024-04-23,Integration,18
538,3,2024-04-25,Core,12
539,3,2024-04-27,Core,7
540,3,2024-04-30,Integration,7
541,3,2024-05-02,Core,6
542,3,2024-05-04,Integration,12
543,3,2024-05-06,Core,10
544,3,2024-05-08,Admin,6
545,3,2024-05-10,Reporting,18
546,3,2024-05-13,Core,19
547,3,2024-05-15,Core,8
548,3,2024-05-17,Core,6
549,3,2024-05-19,Reporting,7
550,3,2024-05-21,Core,18
551,3,2024-05-24,Core,12
552,3,2024-05-26,Core,10
553,3,2024-05-28,Reporting,10
554,3,2024-05-30,Core,11
555,3,2024-06-01,Integration,8
556,3,2024-06-04,Integration,7
557,3,2024-06-06,Core,2
558,3,2024-06-08,Core,1
559,3,2024-06-10,Core,3
560,3,2024-06-12,Integration,18
561,3,2024-06-14,Core,8
562,3,2024-06-17,Core,12
563,3,2024-06-19,Core,17
564,3,2024-06-21,Admin,4
565,3,2024-06-23,Reporting,13
566,3,2024-06-25,Reporting,4
567,3,2024-06-28,Integration,18
568,3,2024-06-30,Core,19
569,3,2024-07-02,Core,16
570,3,2024-07-04,Core,2
571,3,2024-07-06,Core,8
572,3,2024-07-09,Core,16
573,3,2024-07-11,Reporting,13
574,3,2024-07-13,Core,3
575,3,2024-07-15,Integration,12
576,3,2024-07-17,Admin,12
577,3,2024-07-19,Admin,13
578,3,2024-07-22,Integration,12
579,3,2024-07-24,Core,5
580,3,2024-07-26,Core,12
581,3,2024-07-28,Core,8
582,3,2024-07-30,Reporting,9
583,3,2024-08-02,Core,5
584,3,2024-08-04,Reporting,11
585,3,2024-08-06,Integration,13
586,3,2024-08-08,Core,14
587,3,2024-08-10,Core,10
588,3,2024-08-12,Core,7
589,3,2024-08-15,Integration,3
590,3,2024-08-17,Core,16
591,3,2024-08-19,Core,6
592,3,2024-08-21,Core,11
593,3,2024-08-23,Reporting,5
594,3,2024-08-26,Admin,16
595,3,2024-08-28,Core,17
596,3,2024-08-30,Admin,8
597,3,2024-09-01,Core,16
598,3,2024-09-03,Core,4
599,3,2024-09-06,Integration,10
600,3,2024-09-08,Core,12
601,3,2024-09-10,Core,16
602,3,2024-09-12,Core,9
603,3,2024-09-14,Reporting,3
604,3,2024-09-16,Core,14
605,3,2024-09-19,Core,7
606,3,2024-09-21,Admin,16
607,3,2024-09-23,Integration,11
608,3,2024-09-25,Admin,4
609,3,2024-09-27,Reporting,7
610,3,2024-09-30,Reporting,8
611,3,2024-10-02,Admin,19
612,3,2024-10-04,Core,15
613,3,2024-10-06,Reporting,5
614,3,2024-10-08,Core,19
615,3,2024-10-11,Core,4
616,3,2024-10-13,Admin,16
617,3,2024-10-15,Reporting,12
618,3,2024-10-17,Core,5
619,3,2024-10-19,Core,18
620,3,2024-10-21,Reporting,2
621,3,2024-10-24,Integration,4
622,3,2024-10-26,Core,13
623,3,2024-10-28,Core,10
624,3,2024-10-30,Admin,5
625,3,2024-11-01,Core,1
626,3,2024-11-04,Core,17
627,3,2024-11-06,Core,3
628,3,2024-11-08,Reporting,7
629,3,2024-11-10,Core,6
630,3,2024-11-12,Integration,4
631,3,2024-11-15,Reporting,9
632,3,2024-11-17,Reporting,2
633,3,2024-11-19,Admin,8
634,3,2024-11-21,Reporting,15
635,3,2024-11-23,Core,8
636,3,2024-11-25,Core,11
637,3,2024-11-28,Reporting,17
638,3,2024-11-30,Reporting,16
639,3,2024-12-02,Reporting,13
640,3,2024-12-04,Integration,4
641,3,2024-12-06,Admin,12
642,3,2024-12-09,Core,3
643,3,2024-12-11,Reporting,18
644,3,2024-12-13,Integration,17
645,3,2024-12-15,Core,4
646,3,2024-12-17,Integration,15
647,3,2024-12-19,Integration,16
648,3,2024-12-22,Reporting,15
649,3,2024-12-24,Reporting,5
650,3,2024-12-26,Integration,13
651,3,2024-12-28,Core,4
652,3,2024-12-30,Core,19
653,3,2025-01-02,Core,7
654,3,2025-01-04,Core,4
655,3,2025-01-06,Core,2
656,3,2025-01-08,Core,10
657,3,2025-01-10,Core,9
658,3,2025-01-13,Core,5
659,3,2025-01-15,Core,10
660,3,2025-01-17,Reporting,19
661,3,2025-01-19,Reporting,1
662,3,2025-01-21,Reporting,7
663,3,2025-01-23,Reporting,17
664,3,2025-01-26,Core,5
665,3,2025-01-28,Core,8
666,3,2025-01-30,Core,19
667,3,2025-02-01,Integration,1
668,3,2025-02-03,Core,1
669,3,2025-02-06,Reporting,11
670,3,2025-02-08,Reporting,12
671,3,2025-02-10,Core,6
672,3,2025-02-12,Admin,7
673,3,2025-02-14,Core,16
674,3,2025-02-17,Admin,6
675,3,2025-02-19,Core,5
676,3,2025-02-21,Core,18
677,3,2025-02-23,Core,19
678,3,2025-02-25,Core,1
679,3,2025-02-27,Reporting,10
680,3,2025-03-02,Reporting,9
681,3,2025-03-04,Core,13
682,3,2025-03-06,Reporting,12
683,3,2025-03-08,Core,16
684,3,2025-03-10,Admin,19
685,3,2025-03-13,Core,17
686,3,2025-03-15,Admin,17
687,3,2025-03-17,Reporting,19
688,3,2025-03-19,Admin,7
689,3,2025-03-21,Reporting,10
690,3,2025-03-23,Admin,9
691,3,2025-03-26,Core,15
692,3,2025-03-28,Reporting,4
693,3,2025-03-30,Reporting,5
694,3,2025-04-01,Admin,7
695,3,2025-04-03,Reporting,4
696,3,2025-04-06,Core,4
697,3,2025-04-08,Admin,5
698,3,2025-04-10,Core,4
699,3,2025-04-12,Reporting,9
700,3,2025-04-14,Core,14
701,3,2025-04-17,Core,10
702,3,2025-04-19,Admin,12
703,3,2025-04-21,Core,11
704,3,2025-04-23,Core,17
705,3,2025-04-25,Integration,9
706,3,2025-04-27,Integration,3
707,3,2025-04-30,Reporting,19
708,3,2025-05-02,Core,1
709,3,2025-05-04,Core,13
710,3,2025-05-06,Reporting,15
711,3,2025-05-08,Core,7
712,3,2025-05-11,Reporting,18
713,3,2025-05-13,Integration,18
714,3,2025-05-15,Reporting,17
715,3,2025-05-17,Reporting,12
716,3,2025-05-19,Core,2
717,3,2025-05-22,Core,18
718,3,2025-05-24,Core,9
719,3,2025-05-26,Integration,14
720,3,2025-05-28,Core,19
721,3,2025-05-30,Admin,5
722,3,2025-06-01,Reporting,4
723,3,2025-06-04,Integration,12
724,3,2025-06-06,Core,14
725,3,2025-06-08,Reporting,16
726,3,2025-06-10,Reporting,6
727,3,2025-06-12,Core,15
728,3,2025-06-15,Core,1
729,3,2025-06-17,Reporting,12
730,3,2025-06-19,Admin,12
731,3,2025-06-21,Core,6
732,3,2025-06-23,Integration,7
733,3,2025-06-26,Core,10
734,4,2024-01-04,Admin,4
735,4,2024-01-07,Core,9
736,4,2024-01-10,Reporting,7
737,4,2024-01-14,Reporting,6
738,4,2024-01-17,Core,13
739,4,2024-01-21,Reporting,2
740,4,2024-01-24,Integration,14
741,4,2024-01-28,Integration,5
742,4,2024-01-31,Core,3
743,4,2024-02-04,Admin,10
744,4,2024-02-07,Core,12
745,4,2024-02-11,Core,17
746,4,2024-02-14,Reporting,2
747,4,2024-02-18,Core,7
748,4,2024-02-21,Reporting,6
749,4,2024-02-24,Integration,10
750,4,2024-02-28,Core,13
751,4,2024-03-02,Core,6
752,4,2024-03-06,Admin,3
753,4,2024-03-09,Integration,5
754,4,2024-03-13,Core,3
755,4,2024-03-16,Core,12
756,4,2024-03-20,Core,13
757,4,2024-03-23,Integration,14
758,4,2024-03-27,Core,6
759,4,2024-03-30,Reporting,8
760,4,2024-04-03,Core,17
761,4,2024-04-06,Reporting,13
762,4,2024-04-09,Core,11
763,4,2024-04-13,Integration,15
764,4,2024-04-16,Core,3
765,4,2024-04-20,Core,12
766,4,2024-04-23,Reporting,7
767,4,2024-04-27,Admin,9
768,4,2024-04-30,Core,13
769,4,2024-05-04,Reporting,10
770,4,2024-05-07,Core,8
771,4,2024-05-11,Core,13
772,4,2024-05-14,Core,5
773,4,2024-05-18,Reporting,7
774,4,2024-05-21,Core,10
775,4,2024-05-24,Reporting,2
776,4,2024-05-28,Core,11
777,4,2024-05-31,Core,13
778,4,2024-06-04,Core,9
779,4,2024-06-07,Core,2
780,4,2024-06-11,Core,12
781,4,2024-06-14,Core,17
782,4,2024-06-18,Core,6
783,4,2024-06-21,Reporting,14
784,4,2024-06-25,Integration,2
785,4,2024-06-28,Integration,15
786,4,2024-07-02,Reporting,8
787,4,2024-07-05,Reporting,1
788,4,2024-07-08,Core,15
789,4,2024-07-12,Core,18
790,4,2024-07-15,Reporting,5
791,4,2024-07-19,Core,10
792,4,2024-07-22,Core,16
793,4,2024-07-26,Admin,1
794,4,2024-07-29,Core,6
795,4,2024-08-02,Core,2
796,4,2024-08-05,Reporting,9
797,4,2024-08-09,Core,5
798,4,2024-08-12,Reporting,7
799,4,2024-08-16,Integration,13
800,4,2024-08-19,Core,7
801,4,2024-08-22,Core,6
802,4,2024-08-26,Core,2
803,4,2024-08-29,Admin,16
804,4,2024-09-02,Core,9
805,4,2024-09-05,Admin,19
806,4,2024-09-09,Core,3
807,4,2024-09-12,Integration,11
808,4,2024-09-16,Core,11
809,4,2024-09-19,Reporting,7
810,4,2024-09-23,Admin,14
811,4,2024-09-26,Core,4
812,4,2024-09-30,Integration,18
813,4,2024-10-03,Integration,3
814,4,2024-10-06,Reporting,7
815,4,2024-10-10,Integration,11
816,4,2024-10-13,Core,3
817,4,2024-10-17,Core,2
818,4,2024-10-20,Integration,12
819,4,2024-10-24,Reporting,10
820,4,2024-10-27,Core,2
821,4,2024-10-31,Core,6
822,4,2024-11-03,Admin,10
823,4,2024-11-07,Core,4
824,4,2024-11-10,Reporting,17
825,4,2024-11-14,Core,16
826,4,2024-11-17,Core,10
827,4,2024-11-20,Reporting,13
828,4,2024-11-24,Reporting,12
829,4,2024-11-27,Core,5
830,4,2024-12-01,Core,16
831,4,2024-12-04,Core,5
832,4,2024-12-08,Core,15
